订单号,产品类别,产品名称,销售数量,单价,客户所在城市,支付方式,订单日期
2782973956,家居用品,枕头,3,118,广州,银行卡,2025-06-14
3862337541,图书,漫画,2,290,福州,微信支付,2025-06-02
9826076680,食品,牛奶,5,-78,福州,微信支付,2025-06-28
5949577226,电子产品,蓝牙耳机,9,297,杭州,银行卡,2025/06/07
9708761103,图书,小说,9,153,合肥,支付宝,2025-06-14
3577253908,服装,T恤,8,290,合肥,银行卡,2025-06-26
9826076680,电子产品,蓝牙耳机,1,82,NaN,支付宝,2025-06-07
3971653655,家居用品,枕头,10,319,成都,微信支付,2025-06-27
2331463704,食品,牛奶,1,376,北京,支付宝,2025-06-06
5027895059,电子产品,蓝牙耳机,5,151,福州,支付宝,2025-06-18
1113729050,家居用品,台灯,1,243,武汉,现金,2025-06-27
8252921620,食品,牛奶,3,131,合肥,微信支付,2025-06-25
1658050590,食品,巧克力,3,345,郑州,支付宝,2025-06-05
6993352739,食品,牛奶,6,171,天津,现金,2025-06-16
1232889892,食品,海苔,6,278,北京,现金,2025-06-01
5158180901,家居用品,枕头,10,221,北京,现金,2025-06-29
9594499109,图书,绘本,4,70,北京,支付宝,2025-06-25
1728290855,服装,T恤,9,219,深圳,支付宝,2025-06-23
1680832549,家居用品,枕头,3,273,福州,微信支付,2025-06-06
3361533993,图书,小说,2,190,上海,银行卡,2025-06-16
6494494762,食品,巧克力,9,297,合肥,银行卡,2025-06-17
5622757418,食品,巧克力,5,29,上海,微信支付,2025-06-15
8610674732,服装,牛仔裤,4,198,合肥,银行卡,2025-06-26
4562470957,电子产品,智能音箱,9,196,昆明,现金,2025-06-29
1073727529,食品,牛奶,4,336,深圳,银行卡,2025-06-05
1459904559,食品,海苔,6,4,天津,支付宝,2025-06-06
3089692719,食品,海苔,10,78,深圳,支付宝,2025-06-13
9753901098,图书,杂志,6,261,北京,微信支付,2025-06-16
2316533803,食品,巧克力,7,33,合肥,现金,2025-06-16
2923659315,家居用品,保温杯,4,353,广州,支付宝,2025-06-12
2822744120,电子产品,蓝牙耳机,7,278,杭州,微信支付,2025-06-18
2531889210,食品,饼干,8,261,郑州,银行卡,2025-06-07
1150619707,电子产品,蓝牙耳机,9,294,上海,微信支付,2025-06-21
3630006330,电子产品,智能音箱,6,82,南京,现金,2025-06-03
5358247998,家居用品,枕头,7,261,福州,支付宝,2025-06-21
7987142724,服装,T恤,7,275,杭州,现金,2025-06-18
4634366020,食品,海苔,3,120,南京,微信支付,2025-06-19
7061682246,图书,绘本,2,195,青岛,现金,2025-06-27
1923207240,服装,T恤,8,68,杭州,现金,2025-06-20
9334861902,食品,牛奶,7,304,福州,现金,2025-06-29
7028361297,电子产品,电动牙刷,9,89,深圳,支付宝,2025-06-30
6173368401,食品,饼干,6,168,南京,现金,2025-06-17
8514777169,服装,牛仔裤,5,141,北京,现金,2025-06-11
5913954389,食品,牛奶,8,123,武汉,银行卡,2025-06-04
3839058007,食品,牛奶,6,187,福州,现金,2025-06-30
3895210075,服装,外套,1,222,重庆,现金,2025-06-28
2345793627,电子产品,蓝牙耳机,7,4,深圳,银行卡,2025-06-29
8648472679,图书,杂志,3,234,青岛,银行卡,2025-06-14
1747509352,图书,绘本,5,151,重庆,现金,2025-06-29
6290999402,家居用品,保温杯,3,41,杭州,现金,2025-06-14
3768100970,食品,坚果,3,53,重庆,现金,2025-06-11
4625031278,食品,牛奶,5,304,昆明,现金,2025-06-15
