订单号,产品类别,产品名称,销售数量,单价,销售金额
2782973956,家居用品,枕头,3,118,354
3862337541,图书,漫画,2,290,580
9826076680,食品,牛奶,5,-78,-390
5949577226,电子产品,蓝牙耳机,9,297,2673
9708761103,图书,小说,9,153,1377
3577253908,服装,T恤,8,290,2320
9826076680,电子产品,蓝牙耳机,1,82,82
3971653655,家居用品,枕头,10,319,3190
2331463704,食品,牛奶,1,376,376
5027895059,电子产品,蓝牙耳机,5,151,755
1113729050,家居用品,台灯,1,243,243
8252921620,食品,牛奶,3,131,393
1658050590,食品,巧克力,3,345,1035
6993352739,食品,牛奶,6,171,1026
1232889892,食品,海苔,6,278,1668
5158180901,家居用品,枕头,10,221,2210
9594499109,图书,绘本,4,70,280
1728290855,服装,T恤,9,219,1971
1680832549,家居用品,枕头,3,273,819
3361533993,图书,小说,2,190,380
6494494762,食品,巧克力,9,297,2673
5622757418,食品,巧克力,5,29,145
8610674732,服装,牛仔裤,4,198,792
4562470957,电子产品,智能音箱,9,196,1764
1073727529,食品,牛奶,4,336,1344
1459904559,食品,海苔,6,4,24
3089692719,食品,海苔,10,78,780
9753901098,图书,杂志,6,261,1566
2316533803,食品,巧克力,7,33,231
2923659315,家居用品,保温杯,4,353,1412
2822744120,电子产品,蓝牙耳机,7,278,1946
2531889210,食品,饼干,8,261,2088
1150619707,电子产品,蓝牙耳机,9,294,2646
3630006330,电子产品,智能音箱,6,82,492
5358247998,家居用品,枕头,7,261,1827
7987142724,服装,T恤,7,275,1925
4634366020,食品,海苔,3,120,360
7061682246,图书,绘本,2,195,390
1923207240,服装,T恤,8,68,544
9334861902,食品,牛奶,7,304,2128
7028361297,电子产品,电动牙刷,9,89,801
6173368401,食品,饼干,6,168,1008
8514777169,服装,牛仔裤,5,141,705
5913954389,食品,牛奶,8,123,984
3839058007,食品,牛奶,6,187,1122
3895210075,服装,外套,1,222,222
2345793627,电子产品,蓝牙耳机,7,4,28
8648472679,图书,杂志,3,234,702
1747509352,图书,绘本,5,151,755
6290999402,家居用品,保温杯,3,41,123
3768100970,食品,坚果,3,53,159
4625031278,食品,牛奶,5,304,1520
1507651696,食品,坚果,4,387,1548
4479750257,图书,教材,5,361,1805
7273709680,服装,帽子,7,213,1491
6122555505,食品,牛奶,8,79,632
9231065205,食品,海苔,4,314,1256
3338082421,家居用品,台灯,4,250,1000
2318577784,图书,杂志,7,328,2296
5477453946,食品,海苔,1,324,324
4406685819,食品,饼干,1,200,200
3953002634,电子产品,鼠标,9,66,594
8529000587,服装,帽子,6,125,750
4976679050,食品,牛奶,5,64,320
9908224144,食品,巧克力,10,49,490
5373317269,家居用品,枕头,10,288,2880
1879535766,电子产品,鼠标,3,21,63
6895640727,家居用品,毯子,3,11,33
7217279127,服装,外套,6,384,2304
5670062230,图书,小说,6,256,1536
3411177629,服装,T恤,7,355,2485
4982698142,食品,牛奶,7,104,728
6322735268,食品,坚果,4,293,1172
8082340012,电子产品,鼠标,3,253,759
6143516848,电子产品,蓝牙耳机,2,166,332
9750237361,食品,饼干,4,230,920
2945734839,电子产品,蓝牙耳机,8,194,1552
6589677752,图书,绘本,2,300,600
3925450939,图书,小说,9,187,1683
7258153150,食品,饼干,7,386,2702
3988758718,家居用品,台灯,3,178,534
4297263298,电子产品,蓝牙耳机,1,126,126
7089336523,电子产品,智能音箱,8,378,3024
3409479888,食品,牛奶,9,377,3393
8833812689,食品,巧克力,1,135,135
3662262484,服装,T恤,3,352,1056
6427009236,家居用品,台灯,1,290,290
1032741079,家居用品,保温杯,10,337,3370
3382294744,食品,海苔,2,128,256
9225478363,食品,巧克力,5,304,1520
7174377693,食品,海苔,7,154,1078
6684270818,食品,饼干,3,248,744
9080479971,食品,坚果,5,24,120
